Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Ace High,1967,Revenge at El Paso; Four Gunmen of Ave Maria; I Quattro dell'Ave Maria,Giuseppe Colizzi,Eli Wallach,"Terence Hill, Bud Spencer, Brock Peters, Kevin McCarthy, Tiffany Hoyveld, Rick Boyd, Livio Lorenzon",Carlo Rustichelli,"Fundamentally, Eli Wallach replays the same character he popularized in Sergio Leone's The Good, the Bad, and the Ugly, with a different name: Cacopulos from Greece. When a banker buys his freedom from jail to track down con-men Cat Stevens (Terence Hill) and Hutch (Bud Spencer), Cacopulos kills the banker and steals their loot instead. After losing the cash in a crooked casino run by Drake (Kevin McCarthy), the three form an uneasy alliance with a former-slave acrobat (Brock Peters) to pull off a revenge heist."
Adios Cjamango,1969,Twenty Thousand Dollars for Every Corpse; 20.000 Dolares por un Cadaver,José Maria Zabalza (as Harry Freeman),Mike Rivers,"Dianik Zurakowska, José Truchado, Luis Induñi, Franco Fantasia, Miguel de la Riva",Gianni Marchetti / Ana Satrova,"An obscure, loosely related sequel to Edward Muller's 1967 film Cjamango, this time starring Mike Rivers in the title role. Cjamango is a bounty hunter who decides to assist a young widow in her bitter range war against an evil land baron. The tyrannical villain is secretly assembling an underground army of outlaws and banditos to seize the territory."
Adios Gringo,1965,Adios Gringo,Giorgio Stegani (as George Finley),Giuliano Gemma,"Evelyn Stewart, Ted Carter, Peter Cross, Max Dean, Roberto Camardiel, Frank Braña, Jesus Puente, Jean Martin",Benedetto Ghiglia,"Brent Landers (Giuliano Gemma) is framed for cattle rustling and murder, forcing him to go on the run to hunt down the true swindler. Along the trail, he rescues Lucy (Evelyn Stewart), a traumatized woman attacked by three outlaws, including the son of a powerful local cattle baron. Gemma must fight off both corrupt lawmen and hired killers to clear his name. The film was a runaway smash hit in Italy, ranking as the fourth highest-grossing film of 1965."
Adios Hombre,1966,Seven Pistols for a Massacre; Adios Hombre,Mario Caiano,Craig Hill,"Eduardo Fajardo, Piero Lulli, Giulia Rubini, Nello Pazzafini, Eleanora Vargas, Spartaco Conversi, Roberto Camardiel",Francesco de Masi,"Master villain Eduardo Fajardo stars as the psychotic head of an outlaw gang that takes over a sleepy border-town saloon as a fortified hideout while waiting for a massive gold shipment. The gang terrorizes and slaughters the terrified townspeople. An escaped convict seeking redemption, Will Flarity (Craig Hill), decides to take a stand and wipes out the gang one by one."
"Adios, Sabata",1970,"Indio Black; Sabata 2; Bounty Hunters; Indio Black, Sai Che Ti Dico...",Gianfranco Parolini (as Frank Kramer),Yul Brynner,"Dean Reed, Pedro Sanchez, Susan Scott, Franco Fantasia, Joseph Persuad, Andrea Scotti, Sal Borgese, Gerard Herter",Bruno Nicolai,"Originally written as Indio Black, this film was retitled during dubbing to capitalize on the massive success of Sabata. Dressed in all-black and sporting fringe bell-bottoms, Yul Brynner plays the stoic gunfighter leading an expedition to steal a fortune in gold from a sadistic Austrian commandant stationed in Mexico. Pop star Dean Reed co-stars as his flamboyant ball-tossing sidekick Ballantine."
Alive or Preferably Dead,1969,Sundance and the Kid; Vivi... o Preferibilmente Morti,Duccio Tessari,Giuliano Gemma,"Nino Benvenuti, Sydne Rome, Julio Peña, Antonio Casas, Cris Huerta, Georges Rigaud",Gianni Ferrio,"A breezy, lighthearted Western comedy starring Giuliano Gemma alongside real-life boxing champion Nino Benvenuti as two estranged brothers. City-slicker Monty and rustic bumpkin Ted are forced to live together peacefully for six straight months in order to inherit their late uncle's fortune. Chaos ensues when both fall hopelessly in love with the same feisty frontier girl (Sydne Rome)."
All Out,1968,Go for Broke; Tutto per Tutto; One for All,Umberto Lenzi,John Ireland,"Mark Damon, Raf Baldassarre, Fernando Sancho, Monica Randall, Spartaco Conversi, Armando Calvo, Eduardo Fajardo",Marcello Giombini,"A rough-and-tumble caper Western directed by Italian cult horror icon Umberto Lenzi. John Ireland stars as a seasoned bounty hunter teaming up with a misunderstood outlaw (Mark Damon) to locate an elusive stash of stolen gold ingots. The duo must navigate a treacherous landscape populated by oddball killers like 'The Owl' and 'Copper Face', where double-crosses are an everyday currency."
Among Vultures,1964,Frontier Hellcat; La Dove Scende il Sole; Unter Geiern,Alfred Vohrer,Stewart Granger,"Pierre Brice, Elke Sommer, Renato Baldini, Walter Barnes, Götz George, Mario Girotti (Terence Hill), Sieghardt Rupp",Martin Böttcher,"Part of the classic German Karl May film series, featuring Stewart Granger as legendary frontier scout Old Surehand alongside Pierre Brice as Apache chief Winnetou. When a gang of ruthless outlaws disguised as Native Americans slaughters settlers and kidnaps a young woman (Elke Sommer), the heroic blood brothers track down the true culprits across the Rockies. Notably features an early genre appearance by Terence Hill."
And God Said to Cain,1969,E Dio Disse a Caino...,Antonio Margheriti (as Anthony Dawson),Klaus Kinski,"Peter Carsten, Marcella Michelangeli, Lee Burton, Antonio Cantafora, Giuliana Raffaelli, Luciano Pignozzi",Carlo Savina,"A gothic, horror-infused revenge Western starring Klaus Kinski in a commanding lead role as Gary Hamilton. Framed for a robbery and sent to hard labor in a military prison for a decade, Hamilton is pardoned and returns on the night of a raging tornado to systematically eliminate the corrupt land baron who ruined his life. The dark, brooding atmosphere turns the standard revenge motif into an eerie ghost story."
And the Crows Will Dig Your Grave,1971,I Corvi Ti Scaveranno la Fossa,Ignacio Iquino (as John Wood),Craig Hill,"Fernando Sancho, Dominique Boschero, Maria Pia Conte, Frank Braña, Indio Gonzales, Raf Baldassare",Bruno Nicolai,"Wells Fargo hires cold-eyed bounty hunter Jess Sullivan (Craig Hill) to wipe out a ferocious gang of train robbers terrorizing their payroll lines. Sullivan springs a former gang member from a territorial prison to act as his tracker, initiating a violent, tense cat-and-mouse game across desolate Mexican landscapes. The film features classic genre heavies Fernando Sancho and snowy-haired Frank Braña."
