"Blood for a Silver Dollar",1965,"One Silver Dollar; Un Dollaro Bucato","Giorgio Ferroni (as Calvin J. Padget)","Giuliano Gemma (as Montgomery Wood)","Evelyn Stewart, Peter Cross, Andrew Scott, Max Dean, Nello Pazzafini, Frank Farrel","Gianni Ferrio","A discharged Confederate soldier travels west to build a new life, but is tricked by a town boss into a gunfight against his own brother. Saved from death when a bullet strikes a silver dollar in his pocket, he goes undercover to bring down the syndicate."
"Blood River",1974,"Dieci Bianchi Uccisi da un Piccolo Indiano","Gianfranco Baldanello","Fabio Testi","John Ireland, Rosalba Neri, Julie Newmar, Daniel Martin","Piero Umiliani","A very late-cycle, moody Eurowestern boasting an eclectic international ensemble including Julie Newmar and John Ireland, focusing on revenge, cross-country survival, and racial confrontations on the edge of the frontier."
"Boldest Job in the West",1969,"El Más Fabuloso Golpe del Far West","José Antonio De La Loma","Mark Edwards","Fernando Sancho, Carmen Sevilla, Yvan Verella, Charlie Bravo, Piero Lulli, Frank Braña","Gianni Marchetti / Stelvio Cipriani","A gang of multinational outlaws executes an elaborate and supposedly bloodless heist on a major frontier bank, but the plan implodes when an insider betrays the squad and steals the entire haul for himself."
"Boot Hill",1969,"La Collina degli Stivali","Giuseppe Colizzi","Terence Hill","Bud Spencer, Lionel Stander, Woody Strode, Alberto Dell'Acqua, Victor Buono, Eduardo Ciannelli","Carlo Rustichelli","The concluding entry in the Colizzi trilogy uniting Terence Hill and Bud Spencer. Wounded gunfighter Cat Stevens is sheltered by a traveling circus troupe, eventually recruiting trapeze acrobats and hard-hitting allies to liberate a mining settlement from a corrupt claim-jumper (Victor Buono)."
"Born to Kill",1967,"Nato per Uccidere","Antonio Mollica (as Tony Mulligan)","Gordon Mitchell","Femi Benussi, Aldo Berti, Tom Felleghy, Giovanni Lenci, Ettore Manni, Aldo Cannistanni","Felice Di Stefano","Typically known for villainous roles, Gordon Mitchell plays a stoic gunfighter who rides into an oppressed town and is persuaded by local citizens and a saloon hostess (Femi Benussi) to confront the land baron running the county."
"Bounty Hunter in Trinity",1972,"Un Bounty Killer a Trinità","Aristide Massaccesi (as Oskar Faradine)","Jeff Cameron","Paul McCren, Pat Miner, Attilio Dottesio, Carla Mancini, Antonio Cantafora","Vasil Kojucharov","A professional manhunter is hired by town leaders to rid the settlement of an outlaw ring, only to discover the conspiracy runs straight to the town's prominent saloon proprietor. Directed and photographed by Joe D'Amato."
"Brother Outlaw",1971,"Rimase Uno Solo e Fu la Morte per Tutti","Edoardo Mulargia (as Edward G. Muller)","Tony Kendall","James Rogers, Celso Faria, Sophia Kammar, Dean Stratford, Sergio Sagrotti, Mimma Maggio","Gianfranco and Felice De Stefano","When a young man is wrongfully imprisoned for an armed holdup, his brother engineers a prison break. The pair spend the remainder of the story hunting down the actual bandits and the mastermind behind the scheme."
"Brothers Blue",1973,"Blu Gang Vissero per Sempre Felici e Ammazzati","Luigi Bazzoni (as Marc Meyer)","Jack Palance","Antonio Falsi, Guido Mannari, Tina Aumont, Maurizio Bonuglia, Lee Burton","Tony Renis","A moody, stylistic western influenced by the rapid pace of late-60s American outlaw cinema. Jack Palance plays an uncompromising lawman obsessed with tracking down the elusive and doomed Blue brother bandit gang."
"Buddy Goes West",1981,"Occhio alla Penna","Michele Lupo","Bud Spencer","Amidou, Joe Bugner, Piero Trombetta, Carlo Reali, Sara Franchetti","Ennio Morricone","A late-career comedy vehicle for Bud Spencer, who plays a traveling brawler mistaken for a licensed physician in a remote settlement. With his indigenous sidekick, he uses his physical might to defend the community against land-grabbers."
"Buffalo Bill, Hero of the Far West",1964,"Buffalo Bill, l'Eroe del Far West; L'Attaque de Fort Adams","Mario Costa (as John W. Fordson)","Gordon Scott","Mario Brega, Jan Hendriks, Catherine Ribeiro, Piero Lulli, Mirko Ellis, Hans von Borsody","Carlo Rustichelli","Bodybuilding star Gordon Scott portrays Buffalo Bill, tasked by the government with entering hostile territory to identify arms traffickers selling rifles to dissident tribes and preserve regional peace treaties."
